Seconds,Engine Speed - (G28),Injection Timing,Mass Air Flow - Sensor (G70),Throttle Valve Angle,Ignition - Timing Angle,Vehicle Speed - (current),Boost Pressure - (actual),,,,,
0.4,0,0,0,7.1,0,0,910,0
0.62,0,0,0,7.1,0,0,910,0
0.88,0,0,0,7.1,0,0,910,0
1.11,0,0,0,7.1,0,0,910,0
1.36,0,0,0,7.1,0,0,910,0
1.6,0,0,0,7.1,0,0,910,0
1.85,0,0,0,7.1,0,0,910,0
2.08,0,0,0,7.1,0,0,910,0
2.32,0,0,0,7.1,0,0,910,0
2.56,0,0,0,7.1,0,0,910,0
2.83,0,0,0,7.1,0,0,910,0
3.07,0,0,0,7.1,0,0,910,0
3.32,0,0,0,7.1,0,0,910,0
3.55,0,0,0,7.1,0,0,910,0
3.78,0,0,0,7.1,0,0,910,0
4.03,0,0,0,7.1,0,0,910,0
4.26,0,0,0,7.1,0,0,910,0
4.52,0,0,0,7.1,0,0,910,0
4.75,0,0,0,7.1,0,0,910,0
5,0,0,0,7.1,0,0,910,0
5.23,0,0,0,7.1,0,0,910,0
5.49,0,0,0,7.1,0,0,910,0
5.72,0,0,0,7.1,0,0,910,0
5.96,0,0,0,7.1,0,0,910,0
6.2,0,0,0,7.1,0,0,910,0
6.44,0,0,0,7.1,0,0,910,0
6.7,0,0,0,7.1,0,0,910,0
6.94,0,0,0,7.1,0,0,910,0
7.18,0,0,0,7.1,0,0,910,0
7.42,0,0,0,7.1,0,0,910,0
7.67,0,0,0,7.1,0,0,910,0
7.91,0,0,0,7.1,0,0,910,0
8.18,0,0,0,7.1,0,0,910,0
8.41,0,0,0,7.1,0,0,910,0
8.66,0,0,0,7.1,0,0,910,0
8.91,0,0,0,7.1,0,0,910,0
9.14,0,0,0,7.1,0,0,910,0
9.39,0,0,0,7.1,0,0,910,0
9.63,0,0,0,7.1,0,0,910,0
9.89,0,0,0,7.1,0,0,910,0
10.13,0,0,0,7.1,0,0,910,0
10.39,0,0,0,7.1,0,0,910,0
10.63,0,0,0,7.1,0,0,910,0
10.88,0,0,0,7.1,0,0,910,0
11.13,0,0,0,7.1,0,0,910,0
11.37,0,0,0,7.1,0,0,910,0
11.61,0,0,0,7.1,0,0,910,0
11.86,0,0,0,7.1,0,0,910,0
12.09,0,0,0,7.1,0,0,910,0
12.34,0,0,0,7.1,0,0,910,0
12.62,0,0,0,7.1,0,0,910,0
12.85,0,0,0,7.1,0,0,910,0
13.1,0,0,0,7.1,0,0,910,0
13.33,0,0,0,7.1,0,0,910,0
13.58,0,0,0,7.1,0,0,910,0
13.81,0,0,0,7.1,0,0,910,0
14.06,0,0,0,7.1,0,0,910,0
14.29,0,0,0,7.1,0,0,910,0
14.55,0,0,0,7.1,0,0,910,0
14.78,0,0,0,7.1,0,0,910,0
15.01,0,0,0,7.1,0,0,910,0
15.27,0,0,0,7.1,0,0,910,0
15.5,0,0,0,7.1,0,0,910,0
15.75,0,0,0,7.1,0,0,910,0
15.99,0,0,0,7.1,0,0,910,0
16.24,0,0,0,7.1,0,0,910,0
16.47,0,0,0,7.1,0,0,910,0
16.72,0,0,0,7.1,0,0,910,0
16.96,0,0,0,7.1,0,0,910,0
17.2,0,0,0,7.1,0,0,910,0
17.44,0,0,0,7.1,0,0,910,0
17.67,0,0,0,7.1,0,0,910,0
17.93,0,0,0,7.1,0,0,910,0
18.16,0,0,0,7.1,0,0,910,0
18.41,0,0,0,7.1,0,0,910,0
18.64,0,0,0,7.1,0,0,910,0
18.91,0,0,0,7.1,0,0,910,0
19.15,0,0,0,7.1,0,0,910,0
19.39,0,0,0,7.1,0,0,910,0
19.63,0,0,0,7.1,0,0,910,0
19.87,0,0,0,7.1,0,0,910,0
20.12,0,0,0,7.1,0,0,910,0
20.36,0,0,0,7.1,0,0,910,0
20.62,0,0,0,7.1,0,0,910,0
20.85,0,0,0,7.1,0,0,910,0
21.1,0,0,0,7.1,0,0,910,0
21.33,0,0,0,7.1,0,0,910,0
21.58,0,0,0,7.1,0,0,910,0
21.82,120,2.04,0.81,1.2,0,0,910,0
22.06,400,2.04,2.31,3.9,9.8,0,910,0
22.3,1000,1.53,3.58,3.9,9.8,0,910,0
22.55,1280,0.77,3.89,3.9,9,0,910,0
22.78,1360,0.77,4.14,3.9,7.5,0,910,0
23.02,1320,0.77,4.47,4.3,6,0,910,0
23.26,1360,0.77,4.28,4.3,4.5,0,910,0
23.5,1360,0.77,4.56,4.7,3.8,0,910,0
23.75,1280,0.77,4.47,4.7,2.3,0,910,0
23.99,1240,0.77,4.19,4.3,1.5,0,910,0
24.25,1160,0.77,4.03,4.3,0,0,910,0
24.48,1080,0.77,3.58,3.9,-1.5,0,910,0
24.73,1000,0.77,3.44,3.5,-3.8,0,910,0
24.97,920,1.02,3.42,3.5,1.5,0,910,0
25.23,920,1.02,4.53,4.3,5.3,0,910,0
25.45,920,1.28,4.47,4.3,-6.8,0,910,0
25.71,920,1.28,4.42,4.3,-6.8,0,910,0
25.94,920,1.28,4.22,4.3,-4.5,0,910,0
26.17,920,1.28,4.31,4.3,-5.3,0,910,0
26.43,920,1.28,4.42,4.3,-6,0,910,0
26.66,920,1.28,4.28,4.3,-5.3,0,910,0
26.91,920,1.02,4,4.3,-4.5,0,910,0
27.14,920,1.02,3.92,3.9,-3.8,0,910,0
27.39,920,1.02,3.97,3.9,-3,0,910,0
27.63,960,1.02,3.83,3.9,-1.5,0,910,0
27.88,960,1.02,3.86,3.9,-0.8,0,910,0
28.11,920,1.02,3.72,3.9,-2.3,0,910,0
